id,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
2194,000008.SZ,20120502,8.66,8.67,8.38,8.45,8.74,-0.29,-3.32,8251.7,7008.611
2193,000008.SZ,20120503,8.31,8.68,8.31,8.64,8.45,0.19,2.25,5670.27,4857.9907
2192,000008.SZ,20120504,8.62,8.78,8.61,8.78,8.64,0.14,1.62,3921.05,3413.7541
2191,000008.SZ,20120507,8.82,9.22,8.7,9.22,8.78,0.44,5.01,12642.08,11533.9544
2190,000008.SZ,20120508,9.24,9.29,9.03,9.12,9.22,-0.1,-1.08,8193.06,7466.3044
2189,000008.SZ,20120509,9.13,9.46,8.96,9.41,9.12,0.29,3.18,8271.41,7611.4967
2188,000008.SZ,20120510,9.43,9.55,9.22,9.49,9.41,0.08,0.85,7903.05,7453.8221
2187,000008.SZ,20120511,9.46,9.5,9.32,9.42,9.49,-0.07,-0.74,3401.11,3199.8705
2186,000008.SZ,20120514,9.41,9.66,9.38,9.63,9.42,0.21,2.23,7186.81,6822.0348
2185,000008.SZ,20120515,9.66,9.95,9.54,9.92,9.63,0.29,3.01,14284.02,13899.694
2184,000008.SZ,20120516,9.95,10.17,9.83,9.97,9.92,0.05,0.5,10992.22,11011.9441
2183,000008.SZ,20120517,9.9,10.05,9.83,9.96,9.97,-0.01,-0.1,6069.44,6039.854
2182,000008.SZ,20120518,9.95,9.95,9.46,9.6,9.96,-0.36,-3.61,3877.2,3775.2755
2181,000008.SZ,20120521,9.5,9.75,9.46,9.75,9.6,0.15,1.56,3956.67,3807.4578
2180,000008.SZ,20120522,9.72,10.05,9.72,9.96,9.75,0.21,2.15,4611.08,4584.8702
2179,000008.SZ,20120523,9.89,10.08,9.84,10.05,9.96,0.09,0.9,5408.5,5372.3249
2178,000008.SZ,20120524,10.07,10.15,9.7,9.87,10.05,-0.18,-1.79,5318.63,5257.6222
2177,000008.SZ,20120525,9.76,9.94,9.6,9.73,9.87,-0.14,-1.42,6112.83,5985.7789
2176,000008.SZ,20120528,9.75,9.75,9.29,9.75,9.73,0.02,0.21,4974.86,4732.8807
2175,000008.SZ,20120529,9.88,9.89,9.6,9.73,9.75,-0.02,-0.21,4118.97,4020.2836
2174,000008.SZ,20120530,9.7,10.09,9.62,10.02,9.73,0.29,2.98,7120.67,7054.3271
2173,000008.SZ,20120531,9.99,10.22,9.94,10.14,10.02,0.12,1.2,6661.87,6709.6491
2172,000008.SZ,20120601,10.05,10.2,9.9,9.9,10.14,-0.24,-2.37,3724.4,3758.4082
2171,000008.SZ,20120604,9.73,10.15,9.63,10.02,9.9,0.12,1.21,5941.3,5859.5261
2170,000008.SZ,20120605,10.01,10.03,9.78,9.78,10.02,-0.24,-2.4,4279.57,4238.609
2169,000008.SZ,20120606,9.72,9.9,9.68,9.77,9.78,-0.01,-0.1,2539.91,2485.8837
2168,000008.SZ,20120607,9.81,10.15,9.76,9.89,9.77,0.12,1.23,3397.6,3386.4508
2167,000008.SZ,20120608,9.9,10.11,9.81,9.83,9.89,-0.06,-0.61,3297.04,3263.8788
2166,000008.SZ,20120611,9.76,9.98,9.76,9.95,9.83,0.12,1.22,3144.67,3111.3405
2165,000008.SZ,20120612,9.92,10.26,9.9,10.08,9.95,0.13,1.31,4975.1,5018.0078
2164,000008.SZ,20120613,10.16,10.35,10.0,10.28,10.08,0.2,1.98,6563.24,6727.416
2163,000008.SZ,20120614,10.33,10.33,10.06,10.09,10.28,-0.19,-1.85,6102.05,6206.2242
2162,000008.SZ,20120615,10.05,10.22,10.03,10.17,10.09,0.08,0.79,3198.13,3224.9215
2161,000008.SZ,20120618,10.1,10.23,10.08,10.12,10.17,-0.05,-0.49,3117.99,3159.7859
2160,000008.SZ,20120619,10.02,10.29,10.02,10.13,10.12,0.01,0.1,3874.02,3939.7998
2159,000008.SZ,20120620,10.24,10.64,10.18,10.64,10.13,0.51,5.03,13917.84,14694.9108
2158,000008.SZ,20120621,10.78,10.8,10.35,10.55,10.64,-0.09,-0.85,10892.9,11449.781
2157,000008.SZ,20120625,10.55,11.05,10.2,10.8,10.55,0.25,2.37,11250.16,12112.048
2156,000008.SZ,20120626,10.58,11.08,10.58,10.99,10.8,0.19,1.76,8552.2,9343.4224
2155,000008.SZ,20120627,11.02,11.54,11.0,11.54,10.99,0.55,5.0,13942.59,15874.6271
2154,000008.SZ,20120628,11.68,12.09,11.2,11.2,11.54,-0.34,-2.95,25382.84,30036.4834
2153,000008.SZ,20120629,10.89,11.64,10.64,11.43,11.2,0.23,2.05,17362.39,19066.2258
2152,000008.SZ,20120702,11.36,11.85,11.36,11.85,11.43,0.42,3.67,8610.16,10003.7719
2151,000008.SZ,20120703,11.83,11.95,11.5,11.59,11.85,-0.26,-2.19,8411.11,9879.7298
2150,000008.SZ,20120704,11.59,11.75,11.2,11.36,11.59,-0.23,-1.98,7210.62,8227.276
2149,000008.SZ,20120705,11.39,11.41,10.82,11.14,11.36,-0.22,-1.94,6581.22,7314.1395
2148,000008.SZ,20120709,11.03,11.58,11.0,11.15,11.14,0.01,0.09,6172.31,6922.2883
2147,000008.SZ,20120710,11.15,11.19,10.59,10.6,11.15,-0.55,-4.93,8004.4,8574.7818
2146,000008.SZ,20120711,10.43,10.6,10.08,10.47,10.6,-0.13,-1.23,4456.42,4605.0336
2145,000008.SZ,20120712,10.37,10.77,10.37,10.72,10.47,0.25,2.39,4662.61,4969.2566
2144,000008.SZ,20120713,10.72,10.79,10.6,10.76,10.72,0.04,0.37,2487.83,2660.8941
2143,000008.SZ,20120716,10.68,10.87,10.4,10.6,10.76,-0.16,-1.49,2688.22,2863.085
2142,000008.SZ,20120717,10.36,10.67,10.36,10.59,10.6,-0.01,-0.09,1426.55,1509.0865
2141,000008.SZ,20120718,10.8,11.12,10.79,11.12,10.59,0.53,5.0,4950.4,5475.7103
2140,000008.SZ,20120719,11.66,11.67,11.04,11.18,11.12,0.06,0.54,8265.35,9402.1828
2139,000008.SZ,20120720,11.0,11.28,10.96,11.18,11.18,0.0,0.0,3569.81,3956.8699
2138,000008.SZ,20120723,11.24,11.24,10.83,10.95,11.18,-0.23,-2.06,3298.5,3629.315
2137,000008.SZ,20120724,10.85,11.03,10.72,10.98,10.95,0.03,0.27,2501.02,2724.3374
2136,000008.SZ,20120725,10.8,10.98,10.6,10.63,10.98,-0.35,-3.19,1920.11,2057.6856
2135,000008.SZ,20120726,10.63,10.84,10.55,10.65,10.63,0.02,0.19,1518.43,1612.3305
2134,000008.SZ,20120727,10.3,10.75,10.15,10.63,10.65,-0.02,-0.19,2613.39,2755.4771
2133,000008.SZ,20120730,10.1,10.51,10.1,10.1,10.63,-0.53,-4.99,7758.0,7844.125
2132,000008.SZ,20120731,9.6,9.6,9.6,9.6,10.1,-0.5,-4.95,894.0,858.24
2131,000008.SZ,20120801,9.12,9.12,9.12,9.12,9.6,-0.48,-5.0,1730.0,1577.76
2130,000008.SZ,20120802,8.66,9.56,8.66,9.25,9.12,0.13,1.43,9205.2,8269.7017
2129,000008.SZ,20120803,9.22,9.22,8.91,9.07,9.25,-0.18,-1.95,4885.72,4415.8954
2128,000008.SZ,20120806,9.09,9.34,8.8,9.34,9.07,0.27,2.98,2971.0,2699.796
2127,000008.SZ,20120807,9.21,9.43,9.21,9.39,9.34,0.05,0.54,2636.73,2467.4945
2126,000008.SZ,20120808,9.35,9.67,9.35,9.39,9.39,0.0,0.0,3081.1,2913.477
2125,000008.SZ,20120809,9.48,9.6,9.32,9.5,9.39,0.11,1.17,1778.44,1688.7914
2124,000008.SZ,20120810,9.5,9.98,9.5,9.7,9.5,0.2,2.11,2598.55,2522.8357
2123,000008.SZ,20120813,9.78,9.8,9.35,9.41,9.7,-0.29,-2.99,2458.0,2352.9097
2122,000008.SZ,20120814,9.35,9.49,9.09,9.35,9.41,-0.06,-0.64,2241.6,2074.2768
2121,000008.SZ,20120815,9.3,9.35,9.04,9.17,9.35,-0.18,-1.93,4833.96,4425.5812
